127.0.0.1, 2018-08-03 11:58:56, GET, /pluralsight/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-03 11:58:56, GET, /pluralsight/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-08-03 12:04:32, GET, /pluralsight/default/index, HTTP/1.1, 200, 0.025000
127.0.0.1, 2018-08-03 12:04:32, GET, /pluralsight/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-08-03 12:04:32, GET, /pluralsight/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-08-03 12:04:32, GET, /pluralsight/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-08-03 12:04:32, GET, /pluralsight/static/js/jquery.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-08-03 12:04:32, GET, /pluralsight/static/css/calendar.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-08-03 12:04:32, GET, /pluralsight/static/js/calendar.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-08-03 12:04:32, GET, /pluralsight/static/js/web2py.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-08-03 12:04:32, GET, /pluralsight/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-08-03 12:04:32, GET, /pluralsight/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-08-03 12:04:32, GET, /pluralsight/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-08-03 12:04:33, GET, /pluralsight/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-08-03 12:04:33, GET, /pluralsight/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-03 12:31:53, GET, /admin/default/index, HTTP/1.1, 303, 0.004000
127.0.0.1, 2018-08-03 12:31:53, GET, /admin/default/site, HTTP/1.1, 200, 0.021000
127.0.0.1, 2018-08-03 12:31:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-03 12:32:01, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.062000
127.0.0.1, 2018-08-03 12:32:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-03 12:32:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/default/edit/pluralsight/controllers/default.py, HTTP/1.1, 200, 0.033000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.003000
00, 0.002000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.002000

127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/js/ajax_editor.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/js/typeahead.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/images/files_toggle.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 12:32:10, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/default/edit/pluralsight/controllers/default.py, HTTP/1.1, 200, 0.026000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.052000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.094000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/static/_2.16.1/images/save_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-03 12:32:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.118000
127.0.0.1, 2018-08-03 12:32:10, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.102000
127.0.0.1, 2018-08-03 12:32:10, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.164000
127.0.0.1, 2018-08-03 12:32:13, GET, /admin/default/index, HTTP/1.1, 303, 0.005000
127.0.0.1, 2018-08-03 12:32:13, GET, /admin/default/site, HTTP/1.1, 200, 0.023000
127.0.0.1, 2018-08-03 12:32:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-03 12:32:22, GET, /pluralsight/default/index, HTTP/1.1, 200, 0.304000
127.0.0.1, 2018-08-03 12:32:22, GET, /pluralsight/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-08-03 12:32:22, GET, /pluralsight/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-08-03 12:32:22, GET, /pluralsight/static/css/calendar.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2018-08-03 12:32:22, GET, /pluralsight/static/js/jquery.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-08-03 12:32:22, GET, /pluralsight/static/js/calendar.js, HTTP/1.1, 304, 0.002000
